Company,Ice Cream Name,Type,Size,Price
Ciccone & Sons,Jersey Milk,Gelato,3,$8.00 
Mapo,Watermelon,Gelato,4,$8.50 
Mapo,Pistachio,Gelato,1,$5.50 
Ciccone & Sons,Coffee,Gelato,4,$9.50 
Mapo,Chocolate,Gelato,4,$8.50 
testing,Chocolate,testing,4,$14.00 
Gelato Messina,Apple Pie,Gelato,3,$6.80 
Mapo,Chocolate,Gelato,2,$6.00 
testing,Testing,Gelato,3,$12.00 
Mapo,Pistachio,Gelato,3,$7.00 
Ciccone & Sons,Jersey Milk,Gelato,1,$4.00 
Gelato Messina,Apple Pie,Gelato,1,$4.50 
Ciccone & Sons,Chocolate,Gelato,2,$5.00 
Mapo,Chocolate,Gelato,1,$5.50 
Ciccone & Sons,Lemon,Sorbetto,4,$9.50 
Ciccone & Sons,Chocolate,Gelato,4,$9.50 
Gelato Messina,Apple Pie,Gelato,4,$8.80 
Mapo,Pistachio,Gelato,4,$8.50 
Ciccone & Sons,Lemon,Sorbetto,1,$4.00 
Ciccone & Sons,Chocolate,Gelato,3,$8.00 
Gelato Messina,Bounty,Gelato,2,$5.30 
testing,Watermelon,testing,2,$11.00 
Ciccone & Sons,Jersey Milk,Gelato,4,$9.50 
Mapo,Pistachio,Gelato,2,$6.00 
Gelato Messina,Bounty,Gelato,3,$6.80 
Gelato Messina,Bounty,Gelato,4,$8.80 
Ciccone & Sons,Coffee,Gelato,3,$8.00 
Mapo,Watermelon,Gelato,1,$5.50 
Mapo,Watermelon,Gelato,3,$7.00 
Ciccone & Sons,Lemon,Sorbetto,2,$5.00 
Ciccone & Sons,Coffee,Gelato,2,$5.00 
Gelato Messina,Apple Pie,Gelato,2,$5.30 
Gelato Messina,Bounty,Gelato,1,$4.50 
Ciccone & Sons,Jersey Milk,Gelato,2,$5.00 
Mapo,Chocolate,Gelato,3,$7.00 
Ciccone & Sons,Lemon,Sorbetto,3,$8.00 
Ciccone & Sons,Coffee,Gelato,1,$4.00 
Ciccone & Sons,Chocolate,Gelato,1,$4.00 
